name,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Toyota Innova Crysta 2.8 ZX AT BSIV,2017,75000,Diesel,Individual,Automatic,First Owner,1932090.0
Maruti Ciaz VDI SHVS,2017,55545,Diesel,Dealer,Manual,First Owner,823340.0
Honda Amaze EX i-Dtech,2014,56541,Diesel,Dealer,Manual,First Owner,414939.4
Hyundai EON Magna Plus,2016,43700,Petrol,Individual,Manual,First Owner,225674.925
Tata Indica GLS BS IV,2009,120000,Petrol,Individual,Manual,Second Owner,70229.99
Hyundai EON Era Plus,2017,20000,Petrol,Individual,Manual,First Owner,292566.6666666667
Honda City i DTec SV,2014,27483,Diesel,Dealer,Manual,First Owner,593899.99
Maruti Swift LXI,2019,8000,Petrol,Individual,Manual,First Owner,509750.0
Hyundai i10 Sportz 1.2,2008,30000,Petrol,Individual,Manual,First Owner,153449.98
Maruti Alto 800 LXI,2014,56207,Petrol,Dealer,Manual,Second Owner,191059.99
Maruti Zen LXI,2006,70000,Petrol,Individual,Manual,First Owner,81950.0
Honda WR-V i-VTEC VX,2018,1440,Petrol,Individual,Manual,First Owner,852490.0
Maruti Alto 800 LXI,2019,50000,Petrol,Individual,Manual,First Owner,279707.5
Toyota Fortuner 2.8 2WD AT BSIV,2017,20000,Diesel,Individual,Automatic,First Owner,2704050.0
Toyota Innova Crysta 2.4 ZX MT,2017,91195,Diesel,Dealer,Manual,First Owner,1284200.0
Volkswagen Polo 1.5 TDI Trendline,2011,63657,Diesel,Dealer,Manual,First Owner,321259.94
Mahindra Verito Vibe 1.5 dCi D4,2013,60000,Diesel,Individual,Manual,First Owner,366700.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,75000,Diesel,Dealer,Manual,First Owner,1103489.97
Volkswagen Vento Magnific 1.6 Highline,2013,97248,Petrol,Dealer,Manual,First Owner,381509.99
Maruti Swift VDI,2012,46000,Diesel,Individual,Manual,First Owner,428920.0
Hyundai Verna 1.6 VTVT AT S Option,2016,10000,Petrol,Individual,Automatic,First Owner,761090.0
Maruti Swift Dzire LDI,2018,80000,Diesel,Individual,Manual,First Owner,564460.0
Tata New Safari DICOR 2.2 GX 4x2,2011,100000,Diesel,Individual,Manual,Second Owner,331199.91
Maruti SX4 Vxi BSIV,2013,35000,Petrol,Individual,Manual,First Owner,201172.0
Maruti Celerio VXI AT,2017,50000,Petrol,Individual,Automatic,First Owner,488210.0
Maruti SX4 ZDI,2011,90000,Diesel,Individual,Manual,Third Owner,235800.0
Mahindra XUV500 W8 2WD,2012,150000,Diesel,Individual,Manual,Second Owner,473150.0
Hyundai Verna 1.6 SX VTVT (O),2013,89000,Petrol,Individual,Manual,Second Owner,445340.0
Maruti Swift Dzire VDI,2014,60000,Diesel,Individual,Manual,Second Owner,413499.99
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,100000,Diesel,Individual,Manual,Second Owner,239270.0
Maruti SX4 Vxi BSIV,2012,100000,Petrol,Individual,Manual,Second Owner,222730.0
Maruti Swift VDI BSIV,2014,90000,Diesel,Individual,Manual,Second Owner,422819.9
Maruti Wagon R Stingray VXI,2014,75000,Petrol,Individual,Manual,First Owner,325200.0
Toyota Etios Liva 1.4 VD,2017,36000,Diesel,Dealer,Manual,First Owner,496100.0
Hyundai Xcent 1.2 Kappa SX,2016,12000,Petrol,Individual,Manual,First Owner,422700.0
Honda Amaze VX O iDTEC,2017,12997,Diesel,Dealer,Manual,First Owner,554000.0
Maruti Ciaz 1.4 AT Zeta,2017,40000,Petrol,Individual,Automatic,First Owner,498749.99
Mahindra Scorpio S4 4WD,2015,60000,Diesel,Individual,Manual,First Owner,615000.0
Mahindra Quanto C8,2013,25000,Diesel,Individual,Manual,Second Owner,334290.0
Hyundai Verna CRDi 1.6 SX Option,2018,26430,Diesel,Dealer,Manual,First Owner,1111450.0
Maruti Swift 1.3 VXI ABS,2015,24600,Petrol,Dealer,Manual,First Owner,471919.99
Maruti Wagon R LXI,2011,28481,Petrol,Dealer,Manual,First Owner,259450.0
Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,100000,Petrol,Individual,Manual,First Owner,344050.0
Mahindra XUV500 W8 2WD,2013,41988,Diesel,Dealer,Manual,First Owner,747160.0
Maruti Wagon R LXI,2009,30375,Petrol,Dealer,Manual,First Owner,183610.0
Renault KWID Climber 1.0 AMT BSIV,2017,7658,Petrol,Dealer,Automatic,First Owner,1030950.0
Maruti Swift Dzire VDI,2017,34400,Diesel,Dealer,Manual,First Owner,636609.99
Renault KWID RXL BSIV,2017,18500,Petrol,Dealer,Manual,First Owner,323850.0
Hyundai EON 1.0 Era Plus,2012,48000,Petrol,Dealer,Manual,First Owner,223929.96
Maruti Wagon R AMT VXI,2014,28942,Petrol,Dealer,Automatic,First Owner,327390.0
Mahindra Bolero Power Plus SLX,2017,50000,Diesel,Individual,Manual,Second Owner,424290.0
Mahindra XUV500 W8 2WD,2012,53600,Diesel,Dealer,Manual,First Owner,700390.0
Toyota Innova 2.5 G (Diesel) 8 Seater,2015,53652,Diesel,Dealer,Manual,First Owner,886310.0
Maruti Ertiga VXI,2014,25000,Petrol,Individual,Manual,First Owner,473859.98
Toyota Innova 2.5 G4 Diesel 8-seater,2007,80000,Diesel,Individual,Manual,Second Owner,486539.99
Maruti Alto 800 VXI,2017,50000,Petrol,Individual,Manual,First Owner,165009.93
Mahindra Scorpio 1.99 S10,2016,15000,Diesel,Individual,Manual,Second Owner,665489.97
Mahindra KUV 100 G80 K2,2018,5000,Petrol,Individual,Manual,First Owner,523719.85
Hyundai i20 1.4 Asta Option,2017,106000,Diesel,Individual,Manual,First Owner,679680.0
Chevrolet Spark 1.0,2008,100000,Petrol,Individual,Manual,Third Owner,116786.92
Renault KWID RXL,2016,60000,Petrol,Individual,Manual,Third Owner,230899.98
Maruti Ertiga ZDI,2012,120000,Diesel,Individual,Manual,Fourth & Above Owner,475750.0
Maruti Celerio ZXI Optional AMT BSIV,2017,82000,Petrol,Individual,Automatic,First Owner,729139.96
Fiat Palio D 1.9 EL PS,2003,35000,Diesel,Individual,Manual,Second Owner,96109.97
Hyundai EON Magna Plus,2013,205000,Petrol,Individual,Manual,First Owner,162600.0
Hyundai Verna 1.6 CRDI,2011,125000,Diesel,Individual,Manual,Third Owner,265274.99
Fiat Linea Classic 1.3 Multijet,2015,130000,Diesel,Individual,Manual,First Owner,471740.0
Maruti Alto 800 CNG LXI,2012,97000,CNG,Individual,Manual,Second Owner,241399.92
Hyundai Grand i10 Sportz,2015,90000,Petrol,Individual,Manual,Second Owner,345450.0
Maruti Swift Dzire VXi,2009,60000,Petrol,Individual,Manual,Third Owner,240200.0
Tata Indigo CR4,2013,60000,Diesel,Individual,Manual,First Owner,172800.0
Mahindra Scorpio S11 BSIV,2018,35000,Diesel,Individual,Manual,First Owner,1170790.0
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,25000,Petrol,Individual,Manual,First Owner,530860.0
Honda Brio 1.2 S MT,2017,15000,Petrol,Individual,Manual,First Owner,413699.99
Tata Nano Lx,2011,20000,Petrol,Individual,Manual,First Owner,117450.0
Tata Nano Lx,2011,20000,Petrol,Individual,Manual,First Owner,117450.0
Ford Figo Petrol Titanium,2010,70000,Petrol,Individual,Manual,First Owner,241103.83
Tata Zest Revotron 1.2T XE,2016,90000,Petrol,Individual,Manual,First Owner,298080.0
Hyundai Creta 1.4 CRDi Base,2016,80000,Diesel,Individual,Manual,First Owner,861779.93
Mercedes-Benz M-Class ML 350 CDI,2014,79500,Diesel,Individual,Automatic,Second Owner,2994919.97
Hyundai Verna 1.6 SX CRDi (O),2013,70000,Diesel,Individual,Manual,Second Owner,511299.98
Toyota Innova Crysta 2.4 GX MT 8S BSIV,2018,5000,Diesel,Individual,Manual,First Owner,1651950.0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2018,15000,Petrol,Individual,Manual,First Owner,661600.0
Maruti Ertiga VXI,2014,35000,Petrol,Individual,Manual,First Owner,452409.99
Tata New Safari DICOR 2.2 EX 4x4,2009,120000,Diesel,Individual,Manual,Second Owner,168549.96
Mahindra Marazzo M4,2018,15000,Diesel,Individual,Manual,Second Owner,891520.0
Toyota Etios Cross 1.2L G,2015,60000,Petrol,Individual,Manual,First Owner,330649.98
Renault Duster 110PS Diesel RxZ,2013,120000,Diesel,Individual,Manual,First Owner,542364.1431666666
Mahindra KUV 100 mFALCON D75 K8 AW,2016,90000,Diesel,Individual,Manual,First Owner,465879.97
Maruti Swift Dzire VXI,2015,90000,Petrol,Individual,Manual,First Owner,372669.98
Maruti Omni MPI STD BSIV,2018,10000,Petrol,Individual,Manual,First Owner,221950.0
Hyundai i20 Asta 1.4 CRDi (Diesel),2009,72000,Diesel,Individual,Manual,Second Owner,239850.0
Toyota Innova 2.0 GX 8 STR BSIV,2011,197000,Petrol,Individual,Manual,Second Owner,489670.0
Maruti Zen LXI,1999,70000,Petrol,Individual,Manual,Second Owner,78020.0
Hyundai Santro LP zipPlus,2001,50000,Petrol,Individual,Manual,Third Owner,76939.94
Tata Hexa XTA,2017,50000,Diesel,Individual,Automatic,First Owner,1459380.0
Hyundai Verna 1.6 SX VTVT AT,2011,60000,Petrol,Individual,Automatic,Third Owner,552150.0
Maruti Swift Dzire VXI 1.2 BS IV,2018,40000,Petrol,Individual,Manual,First Owner,582750.0
Maruti SX4 ZDI Leather,2012,60000,Diesel,Individual,Manual,Second Owner,346400.0
Tata Nano LX,2013,40000,Petrol,Individual,Manual,First Owner,98139.99
Maruti Ignis 1.2 Alpha BSIV,2017,9161,Petrol,Individual,Manual,First Owner,469999.99
Honda Mobilio V i VTEC,2015,45000,Petrol,Individual,Manual,First Owner,559199.99
Hyundai Getz 1.3 GVS,2010,110000,Petrol,Individual,Manual,First Owner,126600.0
Hyundai Santro Xing GL Plus,2013,80000,Petrol,Individual,Manual,First Owner,200630.0
Ford Fiesta Titanium 1.5 TDCi,2011,100000,Diesel,Individual,Manual,Second Owner,322025.0
Maruti Swift Dzire LDI,2017,90000,Diesel,Individual,Manual,First Owner,513550.0
Hyundai Accent GLE CNG,2009,70000,CNG,Individual,Manual,Third Owner,173950.0
Maruti Zen Estilo LXI BSIII,2007,80000,Petrol,Individual,Manual,Third Owner,103175.0
Maruti Swift Dzire LDI,2014,110000,Diesel,Individual,Manual,Second Owner,401660.0
Hyundai i20 1.2 Spotz,2017,50000,Petrol,Individual,Manual,First Owner,463050.0
Tata Tigor 1.2 Revotron XM,2018,5000,Petrol,Individual,Manual,First Owner,497189.35
Hyundai i10 Magna 1.1,2008,90000,Petrol,Individual,Manual,Third Owner,139800.0
Hyundai Santro Xing GLS,2009,120000,Petrol,Individual,Manual,First Owner,129944.99
Nissan Sunny Diesel XV,2013,80000,Diesel,Individual,Manual,First Owner,406800.0
Hyundai i20 1.2 Spotz,2017,38000,Petrol,Individual,Manual,Second Owner,568700.0
Hyundai Santro Xing GLS,2009,120000,Petrol,Individual,Manual,First Owner,129944.99
Tata Indigo CR4,2011,90000,Diesel,Individual,Manual,First Owner,131350.0
Maruti Alto 800 LXI,2017,50000,Petrol,Individual,Manual,First Owner,179074.99
Maruti Alto 800 LXI,2016,60000,Petrol,Individual,Manual,First Owner,171899.99
Mahindra XUV500 W8 2WD,2013,100000,Diesel,Individual,Manual,Second Owner,512249.99
Tata Nano Std,2011,19000,Petrol,Individual,Manual,First Owner,114350.0
Chevrolet Tavera LT L1 7 Seats BSIII,2006,200000,Diesel,Individual,Manual,Third Owner,173549.98
Mahindra Verito 1.5 D2 BSIV,2015,70000,Diesel,Individual,Manual,Second Owner,300130.0
Maruti Swift VDI,2011,50000,Diesel,Individual,Manual,Second Owner,270340.0
Maruti Alto LX,2012,19077,Petrol,Individual,Manual,Second Owner,163664.0
Hyundai EON D Lite,2016,30000,Petrol,Individual,Manual,First Owner,212137.4925
Maruti Alto LXi,2009,80000,Petrol,Individual,Manual,Second Owner,142979.92
Toyota Innova 2.5 GX (Diesel) 7 Seater,2015,128000,Diesel,Individual,Manual,First Owner,956510.0
Nissan Terrano XV Premium 110 PS,2013,80000,Diesel,Individual,Manual,First Owner,712500.0
Maruti Baleno Alpha 1.3,2016,100000,Diesel,Individual,Manual,First Owner,615929.99
Nissan Sunny XV D Premium Leather,2015,50000,Diesel,Individual,Manual,First Owner,477950.0
Toyota Etios Liva GD,2012,56000,Diesel,Individual,Manual,First Owner,373789.39
Hyundai EON 1.0 Era Plus,2018,21302,Petrol,Individual,Manual,First Owner,146550.00000000003
Renault KWID 1.0 RXT Optional,2018,10500,Petrol,Individual,Manual,First Owner,313750.0
Mahindra Bolero 2011-2019 SLX,2013,107000,Diesel,Individual,Manual,First Owner,395850.0
Hyundai i10 Sportz 1.2,2010,60000,Petrol,Individual,Manual,Second Owner,203299.99
Hyundai Santro Xing XG eRLX Euro III,2006,120000,Petrol,Individual,Manual,Second Owner,83660.0
Maruti Wagon R LXI BS IV,2010,70000,Petrol,Individual,Manual,First Owner,214369.98
Maruti Alto 800 LXI,2015,50000,Petrol,Individual,Manual,Second Owner,232496.6666666667
Toyota Etios Liva GD,2013,70000,Diesel,Individual,Manual,Second Owner,430969.98
Renault Duster 85PS Diesel RxL,2013,1000,Diesel,Dealer,Manual,Second Owner,450000.0
Mercedes-Benz C-Class Progressive C 220d,2018,10000,Diesel,Dealer,Automatic,First Owner,3800000.0
Audi A4 3.0 TDI Quattro,2013,86000,Diesel,Dealer,Automatic,First Owner,1580000.0
BMW X5 xDrive 30d xLine,2019,30000,Diesel,Dealer,Automatic,First Owner,4950000.0
Hyundai Creta 1.6 CRDi SX,2016,52600,Diesel,Individual,Manual,First Owner,535000.0
Maruti SX4 Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,225000.0
Hyundai Grand i10 1.2 Kappa Magna AT,2017,19890,Petrol,Dealer,Automatic,First Owner,550000.0
Maruti Swift ZXI BSIV,2016,7104,Petrol,Trustmark Dealer,Manual,First Owner,670000.0
Maruti Ertiga VXI,2015,11918,Petrol,Trustmark Dealer,Manual,First Owner,625000.0
Hyundai Grand i10 Magna AT,2017,10510,Petrol,Dealer,Automatic,First Owner,520000.0
Chevrolet Beat LT Option,2016,41000,Petrol,Dealer,Manual,First Owner,239000.0
Toyota Fortuner 4x2 AT,2017,47162,Diesel,Trustmark Dealer,Automatic,First Owner,2600000.0
Maruti S-Cross Zeta DDiS 200 SH,2015,45974,Diesel,Trustmark Dealer,Manual,First Owner,750000.0
Hyundai i10 Magna,2012,49824,Petrol,Dealer,Manual,First Owner,229999.0
Audi A6 2.0 TDI Premium Plus,2013,58500,Diesel,Dealer,Automatic,First Owner,1300000.0
Hyundai Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000.0
Skoda Laura Ambiente 2.0 TDI CR MT,2012,52000,Diesel,Dealer,Manual,First Owner,385000.0
Hyundai Verna 1.6 VTVT SX,2015,55340,Petrol,Trustmark Dealer,Manual,First Owner,760000.0
Maruti Swift Dzire VDI,2017,46507,Diesel,Trustmark Dealer,Manual,First Owner,600000.0
Renault Duster 85PS Diesel RxL,2013,1000,Diesel,Dealer,Manual,Second Owner,450000.0
Mercedes-Benz C-Class Progressive C 220d,2018,10000,Diesel,Dealer,Automatic,First Owner,3800000.0
Audi A4 3.0 TDI Quattro,2013,86000,Diesel,Dealer,Automatic,First Owner,1580000.0
BMW X5 xDrive 30d xLine,2019,30000,Diesel,Dealer,Automatic,First Owner,4950000.0
Hyundai Creta 1.6 CRDi SX,2016,52600,Diesel,Individual,Manual,First Owner,535000.0
Maruti SX4 Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,225000.0
Hyundai Grand i10 1.2 Kappa Magna AT,2017,19890,Petrol,Dealer,Automatic,First Owner,550000.0
Maruti Swift ZXI BSIV,2016,7104,Petrol,Trustmark Dealer,Manual,First Owner,670000.0
Maruti Ertiga VXI,2015,11918,Petrol,Trustmark Dealer,Manual,First Owner,625000.0
Hyundai Grand i10 Magna AT,2017,10510,Petrol,Dealer,Automatic,First Owner,520000.0
Chevrolet Beat LT Option,2016,41000,Petrol,Dealer,Manual,First Owner,239000.0
Toyota Fortuner 4x2 AT,2017,47162,Diesel,Trustmark Dealer,Automatic,First Owner,2600000.0
Maruti S-Cross Zeta DDiS 200 SH,2015,45974,Diesel,Trustmark Dealer,Manual,First Owner,750000.0
Hyundai i10 Magna,2012,49824,Petrol,Dealer,Manual,First Owner,229999.0
Audi A6 2.0 TDI Premium Plus,2013,58500,Diesel,Dealer,Automatic,First Owner,1300000.0
Hyundai Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,80000.0
Skoda Laura Ambiente 2.0 TDI CR MT,2012,52000,Diesel,Dealer,Manual,First Owner,385000.0
Hyundai Verna 1.6 VTVT SX,2015,55340,Petrol,Trustmark Dealer,Manual,First Owner,760000.0
Maruti Swift Dzire VDI,2017,46507,Diesel,Trustmark Dealer,Manual,First Owner,600000.0
Volkswagen Jetta 2.0L TDI Highline AT,2012,55300,Diesel,Dealer,Automatic,First Owner,740290.0
Tata Indica Vista Quadrajet 90 VX,2012,74300,Diesel,Dealer,Manual,First Owner,257989.99
Honda City VX MT,2010,48781,Petrol,Dealer,Manual,First Owner,346149.98
Volkswagen Jetta 1.9 Highline TDI,2010,87620,Diesel,Dealer,Automatic,First Owner,351900.0
Volkswagen Vento 1.5 TDI Highline Plus AT,2017,40219,Diesel,Dealer,Automatic,First Owner,1059525.0
Honda Jazz VX,2011,11473,Petrol,Dealer,Manual,First Owner,342999.96
Maruti Eeco 5 Seater AC BSIV,2017,8352,Petrol,Dealer,Manual,First Owner,461049.9
Maruti Wagon R VXI AMT1.2BSIV,2017,9745,Petrol,Dealer,Automatic,First Owner,1155249.98
Hyundai Grand i10 Asta,2017,9748,Petrol,Dealer,Manual,First Owner,545750.0
Volkswagen Polo 1.0 MPI Trendline,2012,49000,Petrol,Dealer,Manual,First Owner,284459.97
Hyundai Creta 1.6 CRDi SX Option,2018,20694,Diesel,Dealer,Manual,First Owner,1397269.99
Hyundai Grand i10 Asta Option,2015,31080,Petrol,Dealer,Manual,First Owner,479089.92
Hyundai EON Era Plus,2014,37605,Petrol,Dealer,Manual,First Owner,257199.99
Hyundai Xcent 1.1 CRDi SX Option,2014,55850,Diesel,Dealer,Manual,First Owner,483439.99
Tata Nano Lx BSIV,2010,58850,Petrol,Dealer,Manual,First Owner,76320.0
Toyota Etios Cross 1.2L G,2015,23839,Petrol,Dealer,Manual,First Owner,449909.96
Maruti Swift DDiS LDI,2016,54000,Diesel,Dealer,Manual,First Owner,553500.0
Hyundai i10 Sportz 1.2 AT,2013,38000,Petrol,Dealer,Automatic,First Owner,558830.0
Volkswagen Vento 1.5 TDI Comfortline,2012,45454,Diesel,Dealer,Manual,First Owner,385230.0
Skoda Rapid 1.5 TDI AT Ambition,2015,46957,Diesel,Dealer,Automatic,First Owner,694649.99
Hyundai Getz GLE,2007,60000,Petrol,Individual,Manual,Fourth & Above Owner,124823.33333333331
Renault KWID RXT Optional,2016,25000,Petrol,Individual,Manual,First Owner,277150.0
Mahindra Scorpio M2DI,2012,110000,Diesel,Individual,Manual,Fourth & Above Owner,554499.98
Ford Endeavour XLT TDCi 4X2,2008,190000,Diesel,Individual,Manual,Second Owner,255349.99
Audi Q3 35 TDI Quattro Technology,2018,25000,Diesel,Individual,Automatic,First Owner,2810910.0
Mahindra Renault Logan 1.4 GLX Petrol,2008,90000,Petrol,Individual,Manual,First Owner,87079.99
Maruti Alto K10 VXI,2019,5000,Petrol,Individual,Manual,First Owner,343470.0
Maruti Swift VDI BSIV,2015,60000,Diesel,Individual,Manual,First Owner,428380.0
Audi A5 Sportback,2020,1500,Diesel,Individual,Automatic,First Owner,3946960.0
Maruti Swift Dzire VDI,2018,50000,Diesel,Individual,Manual,First Owner,590200.0
Chevrolet Sail Hatchback 1.3 TCDi LT ABS,2014,120000,Diesel,Individual,Manual,First Owner,295370.0
Hyundai Accent CRDi,2005,120000,Diesel,Individual,Manual,Second Owner,105150.0
Maruti Alto K10 VXI Airbag,2019,5000,Petrol,Individual,Manual,First Owner,347080.0
BMW 7 Series Signature 730Ld,2014,47000,Diesel,Individual,Automatic,First Owner,3233539.99
Toyota Camry 2.5 Hybrid,2017,20000,Petrol,Individual,Automatic,First Owner,1661760.0
Hyundai Santro Xing XG,2005,120000,Petrol,Individual,Manual,Second Owner,95449.93
Hyundai Grand i10 CRDi Sportz,2015,58000,Diesel,Individual,Manual,First Owner,384160.0
Mahindra XUV500 W5 BSIV,2018,35000,Diesel,Individual,Manual,First Owner,1081860.0
Maruti Alto K10 VXI,2017,30000,Petrol,Individual,Manual,First Owner,323909.99
Mahindra XUV300 W8 Option Diesel BSIV,2019,10000,Diesel,Individual,Manual,First Owner,1060150.0
Toyota Innova Crysta 2.4 VX MT BSIV,2017,25000,Diesel,Individual,Manual,First Owner,1716700.0
Mahindra Thar CRDe,2018,20000,Diesel,Individual,Manual,First Owner,875880.0
Maruti Swift Dzire ZDI,2018,50000,Diesel,Individual,Manual,First Owner,684300.0
Hyundai EON Magna Plus,2014,42000,Petrol,Individual,Manual,First Owner,233150.0
Tata Hexa XM,2017,50000,Diesel,Individual,Manual,First Owner,568749.91
Honda Mobilio E i DTEC,2017,116000,Diesel,Individual,Manual,First Owner,655299.98
Maruti Ertiga ZDI,2015,100000,Diesel,Individual,Manual,First Owner,529839.96
Maruti Ciaz ZXi Plus,2015,66000,Petrol,Individual,Manual,First Owner,583593.3233333332
Mahindra Scorpio LX,2010,110000,Diesel,Individual,Manual,Third Owner,397499.94
Fiat Grande Punto EVO 1.3 Dynamic,2014,70000,Diesel,Individual,Manual,First Owner,301460.0
Hyundai Creta 1.6 CRDi SX Option,2015,60000,Diesel,Individual,Manual,First Owner,714699.99
Ford Endeavour Hurricane Limited Edition,2007,110000,Diesel,Individual,Automatic,Fourth & Above Owner,560210.0
Tata Indica Vista TDI LS,2014,25000,Diesel,Individual,Manual,First Owner,338299.99
Land Rover Discovery S 2.0 SD4,2018,68000,Petrol,Individual,Automatic,First Owner,2945300.0
Maruti Alto 800 LXI,2014,20000,Petrol,Individual,Manual,First Owner,255299.96
Hyundai i10 Era 1.1 iTech SE,2011,110000,Petrol,Individual,Manual,Second Owner,211569.93
Maruti Vitara Brezza VDi Option,2018,26350,Diesel,Individual,Manual,First Owner,755750.0
Mahindra Scorpio SLE BSIV,2012,90000,Diesel,Individual,Manual,First Owner,538289.98
Hyundai i20 Sportz Option 1.2,2016,25000,Petrol,Individual,Manual,First Owner,521500.0
Hyundai Santro Xing GLS,2014,50000,Petrol,Individual,Manual,Second Owner,317750.0
Tata Indica LSI,2006,60000,Petrol,Individual,Manual,Second Owner,79370.0
Hyundai EON Era Plus,2012,70000,Petrol,Individual,Manual,Third Owner,194179.95
Ford Endeavour 3.0L 4X4 AT,2011,90000,Diesel,Individual,Automatic,Second Owner,896080.0
Hyundai Santro LE zipPlus,2001,70000,Petrol,Individual,Manual,First Owner,65680.0
Hyundai Grand i10 1.2 Kappa Asta,2017,26500,Petrol,Individual,Manual,First Owner,498420.0
Tata Indigo CR4,2013,60000,Diesel,Individual,Manual,First Owner,172800.0
Mahindra Scorpio S11 BSIV,2018,35000,Diesel,Individual,Manual,First Owner,1170790.0
Hyundai Creta 1.4 EX Diesel,2020,10000,Diesel,Individual,Manual,First Owner,1065690.0
Maruti Ritz LXI,2009,15000,Petrol,Individual,Manual,First Owner,259630.0
Hyundai i20 Magna 1.2,2016,25000,Petrol,Individual,Manual,First Owner,573700.0
Hyundai Verna CRDi 1.6 SX,2017,50000,Diesel,Individual,Manual,First Owner,882349.98
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,25000,Petrol,Individual,Manual,First Owner,530860.0
Maruti Alto LX,2007,52000,Petrol,Individual,Manual,Second Owner,99509.99
Honda Brio 1.2 S MT,2017,15000,Petrol,Individual,Manual,First Owner,413699.99
Tata Nano Lx,2011,20000,Petrol,Individual,Manual,First Owner,117450.0
Hyundai i20 Asta 1.4 CRDi,2013,90000,Diesel,Individual,Manual,First Owner,306500.0
Tata Indigo LX,2011,60000,Diesel,Individual,Manual,Second Owner,152650.0
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,23000,Petrol,Individual,Manual,First Owner,588100.0
Maruti Alto K10 VXI,2018,22155,Petrol,Individual,Manual,First Owner,367939.93
Tata Nano Lx,2011,20000,Petrol,Individual,Manual,First Owner,117450.0
Maruti Ciaz 1.4 Delta,2018,70000,Petrol,Individual,Manual,First Owner,683680.0
Maruti Alto LX,2009,60000,Petrol,Individual,Manual,Second Owner,150850.0
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,35000,Petrol,Individual,Manual,First Owner,578310.0
Mahindra XUV500 W8 4WD,2012,71042,Diesel,Dealer,Manual,First Owner,699800.0
Mitsubishi Pajero Sport 4X4,2012,167870,Diesel,Dealer,Manual,Second Owner,521679.96
Ford Fiesta 1.5 TDCi Titanium,2011,133564,Diesel,Dealer,Manual,First Owner,261610.0
Mercedes-Benz C-Class Progressive C 220d,2018,10000,Diesel,Dealer,Automatic,First Owner,3800000.0
BMW 3 Series 320d Sport,2013,40000,Diesel,Dealer,Automatic,First Owner,1706249.99
BMW X5 xDrive 30d xLine,2019,30000,Diesel,Dealer,Automatic,First Owner,4950000.0
Honda City i-VTEC CVT ZX,2018,23038,Petrol,Trustmark Dealer,Automatic,First Owner,1086180.0
Chevrolet Beat Diesel LS,2011,70000,Diesel,Individual,Manual,First Owner,118939.96
BMW 3 Series GT Luxury Line,2017,30000,Diesel,Individual,Automatic,First Owner,2913750.0
Hyundai Grand i10 1.2 Kappa Magna AT,2017,19890,Petrol,Dealer,Automatic,First Owner,550000.0
Maruti Ertiga VXI,2015,11918,Petrol,Trustmark Dealer,Manual,First Owner,625000.0
Hyundai Grand i10 Magna AT,2017,10510,Petrol,Dealer,Automatic,First Owner,520000.0
Chevrolet Beat LT Option,2016,41000,Petrol,Dealer,Manual,First Owner,239000.0
Toyota Fortuner 4x2 AT,2017,47162,Diesel,Trustmark Dealer,Automatic,First Owner,2600000.0
Hyundai i10 Magna,2012,49824,Petrol,Dealer,Manual,First Owner,229999.0
Audi A6 2.0 TDI Premium Plus,2013,58500,Diesel,Dealer,Automatic,First Owner,1300000.0
Maruti Baleno Delta 1.2,2017,43608,Petrol,Trustmark Dealer,Manual,First Owner,629630.0
Maruti Baleno Alpha CVT,2018,11212,Petrol,Trustmark Dealer,Automatic,First Owner,811910.0
Hyundai i20 1.4 Magna Executive,2013,52000,Diesel,Dealer,Manual,First Owner,350299.99
Maruti Baleno Zeta,2016,49217,Petrol,Trustmark Dealer,Manual,First Owner,705950.0
Mahindra Verito 1.5 D4 BSIV,2015,90000,Diesel,Individual,Manual,First Owner,353879.99
Hyundai Xcent 1.2 Kappa S,2015,70000,Petrol,Individual,Manual,First Owner,375169.99
Honda City VTEC,2003,90000,Petrol,Individual,Manual,Fourth & Above Owner,244149.99
Maruti Swift Dzire VDi,2011,190000,Diesel,Individual,Manual,Third Owner,263413.3333333333
Ford Endeavour 3.2 Titanium AT 4X4,2016,106000,Diesel,Individual,Automatic,First Owner,1928390.0
Tata Xenon XT EX 4X2,2012,80000,Diesel,Individual,Manual,Second Owner,335200.0
Nissan Terrano XL Plus 85 PS,2014,80000,Diesel,Individual,Manual,Second Owner,528460.0
Maruti Eeco 7 Seater Standard BSIV,2018,20000,Petrol,Individual,Manual,First Owner,280790.0
Maruti Ertiga ZDI,2012,110000,Diesel,Individual,Manual,Second Owner,519919.99
Ford Ecosport 1.5 DV5 MT Ambiente,2013,60000,Diesel,Individual,Manual,Second Owner,453750.0
